iter	Passed	Remaining
0	0	80
1	1	68
2	1	62
3	2	57
4	2	56
5	3	54
6	4	53
7	4	54
8	5	53
9	6	54
10	6	54
11	7	55
12	8	56
13	8	54
14	9	53
15	10	52
16	10	51
17	11	50
18	11	49
19	12	48
20	12	47
21	13	47
22	13	46
23	14	45
24	15	45
25	15	44
26	16	43
27	16	42
28	17	42
29	17	41
30	18	40
31	19	40
32	19	40
33	20	40
34	21	39
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	24	35
41	25	34
42	25	34
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	39	22
64	40	21
65	41	21
66	42	20
67	42	20
68	43	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	48	16
75	49	15
76	50	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	56	10
84	56	10
85	57	9
86	58	8
87	58	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	65	2
97	65	1
98	66	0
99	67	0
